CoachID,CoachName,SeasonStartYear,CoachType
1,Lenny Wilkens,1969,Head Coach
1,Lenny Wilkens,1970,Head Coach
1,Lenny Wilkens,1971,Head Coach
1,Lenny Wilkens,1974,Head Coach
1,Lenny Wilkens,1975,Head Coach
1,Lenny Wilkens,1977,Head Coach
1,Lenny Wilkens,1978,Head Coach
1,Lenny Wilkens,1979,Head Coach
1,Lenny Wilkens,1980,Head Coach
1,Lenny Wilkens,1981,Head Coach
1,Lenny Wilkens,1982,Head Coach
1,Lenny Wilkens,1983,Head Coach
1,Lenny Wilkens,1984,Head Coach
1,Lenny Wilkens,1986,Head Coach
1,Lenny Wilkens,1987,Head Coach
1,Lenny Wilkens,1988,Head Coach
1,Lenny Wilkens,1989,Head Coach
1,Lenny Wilkens,1990,Head Coach
1,Lenny Wilkens,1991,Head Coach
1,Lenny Wilkens,1992,Head Coach
1,Lenny Wilkens,1993,Head Coach
1,Lenny Wilkens,1994,Head Coach
1,Lenny Wilkens,1995,Head Coach
1,Lenny Wilkens,1996,Head Coach
1,Lenny Wilkens,1997,Head Coach
1,Lenny Wilkens,1998,Head Coach
1,Lenny Wilkens,1999,Head Coach
1,Lenny Wilkens,2000,Head Coach
1,Lenny Wilkens,2001,Head Coach
1,Lenny Wilkens,2002,Head Coach
1,Lenny Wilkens,2003,Head Coach
1,Lenny Wilkens,2004,Head Coach
2,M.L. Carr,1995,Head Coach
2,M.L. Carr,1996,Head Coach
3,Dave Cowens,1978,Head Coach
3,Dave Cowens,1996,Head Coach
3,Dave Cowens,1997,Head Coach
3,Dave Cowens,1998,Head Coach
3,Dave Cowens,2000,Head Coach
3,Dave Cowens,2001,Head Coach
4,Phil Jackson,1989,Head Coach
4,Phil Jackson,1990,Head Coach
4,Phil Jackson,1991,Head Coach
4,Phil Jackson,1992,Head Coach
4,Phil Jackson,1993,Head Coach
4,Phil Jackson,1994,Head Coach
4,Phil Jackson,1995,Head Coach
4,Phil Jackson,1996,Head Coach
4,Phil Jackson,1997,Head Coach
4,Phil Jackson,1999,Head Coach
4,Phil Jackson,2000,Head Coach
4,Phil Jackson,2001,Head Coach
4,Phil Jackson,2002,Head Coach
4,Phil Jackson,2003,Head Coach
4,Phil Jackson,2005,Head Coach
4,Phil Jackson,2006,Head Coach
4,Phil Jackson,2007,Head Coach
4,Phil Jackson,2008,Head Coach
4,Phil Jackson,2009,Head Coach
4,Phil Jackson,2010,Head Coach
5,Mike Fratello,1980,Head Coach
5,Mike Fratello,1983,Head Coach
5,Mike Fratello,1984,Head Coach
5,Mike Fratello,1985,Head Coach
5,Mike Fratello,1986,Head Coach
5,Mike Fratello,1987,Head Coach
5,Mike Fratello,1988,Head Coach
5,Mike Fratello,1989,Head Coach
5,Mike Fratello,1993,Head Coach
5,Mike Fratello,1994,Head Coach
5,Mike Fratello,1995,Head Coach
5,Mike Fratello,1996,Head Coach
5,Mike Fratello,1997,Head Coach
5,Mike Fratello,1998,Head Coach
5,Mike Fratello,2004,Head Coach
5,Mike Fratello,2005,Head Coach
5,Mike Fratello,2006,Head Coach
6,Jim Cleamons,1996,Head Coach
6,Jim Cleamons,1997,Head Coach
7,Bernie Bickerstaff,1985,Head Coach
7,Bernie Bickerstaff,1986,Head Coach
7,Bernie Bickerstaff,1987,Head Coach
7,Bernie Bickerstaff,1988,Head Coach
7,Bernie Bickerstaff,1989,Head Coach
7,Bernie Bickerstaff,1994,Head Coach
7,Bernie Bickerstaff,1995,Head Coach
7,Bernie Bickerstaff,1996,Head Coach
7,Bernie Bickerstaff,1996,Head Coach
7,Bernie Bickerstaff,1997,Head Coach
7,Bernie Bickerstaff,1998,Head Coach
7,Bernie Bickerstaff,2004,Head Coach
7,Bernie Bickerstaff,2005,Head Coach
7,Bernie Bickerstaff,2006,Head Coach
7,Bernie Bickerstaff,2012,Head Coach
8,Dick Motta,1968,Head Coach
8,Dick Motta,1969,Head Coach
8,Dick Motta,1970,Head Coach
8,Dick Motta,1971,Head Coach
8,Dick Motta,1972,Head Coach
8,Dick Motta,1973,Head Coach
8,Dick Motta,1974,Head Coach
8,Dick Motta,1975,Head Coach
8,Dick Motta,1976,Head Coach
8,Dick Motta,1977,Head Coach
8,Dick Motta,1978,Head Coach
8,Dick Motta,1979,Head Coach
8,Dick Motta,1980,Head Coach
8,Dick Motta,1981,Head Coach
8,Dick Motta,1982,Head Coach
8,Dick Motta,1983,Head Coach
8,Dick Motta,1984,Head Coach
8,Dick Motta,1985,Head Coach
8,Dick Motta,1986,Head Coach
8,Dick Motta,1989,Head Coach
8,Dick Motta,1990,Head Coach
8,Dick Motta,1991,Head Coach
8,Dick Motta,1994,Head Coach
8,Dick Motta,1995,Head Coach
8,Dick Motta,1996,Head Coach
9,Doug Collins,1986,Head Coach
9,Doug Collins,1987,Head Coach
9,Doug Collins,1988,Head Coach
9,Doug Collins,1995,Head Coach
9,Doug Collins,1996,Head Coach
9,Doug Collins,1997,Head Coach
9,Doug Collins,2001,Head Coach
9,Doug Collins,2002,Head Coach
9,Doug Collins,2010,Head Coach
9,Doug Collins,2011,Head Coach
9,Doug Collins,2012,Head Coach
10,Rick Adelman,1988,Head Coach
10,Rick Adelman,1989,Head Coach
10,Rick Adelman,1990,Head Coach
10,Rick Adelman,1991,Head Coach
10,Rick Adelman,1992,Head Coach
10,Rick Adelman,1993,Head Coach
10,Rick Adelman,1995,Head Coach
10,Rick Adelman,1996,Head Coach
10,Rick Adelman,1998,Head Coach
10,Rick Adelman,1999,Head Coach
10,Rick Adelman,2000,Head Coach
10,Rick Adelman,2001,Head Coach
10,Rick Adelman,2002,Head Coach
10,Rick Adelman,2003,Head Coach
10,Rick Adelman,2004,Head Coach
10,Rick Adelman,2005,Head Coach
10,Rick Adelman,2007,Head Coach
10,Rick Adelman,2008,Head Coach
10,Rick Adelman,2009,Head Coach
10,Rick Adelman,2010,Head Coach
10,Rick Adelman,2011,Head Coach
10,Rick Adelman,2012,Head Coach
10,Rick Adelman,2013,Head Coach
11,Rudy Tomjanovich,1991,Head Coach
11,Rudy Tomjanovich,1992,Head Coach
11,Rudy Tomjanovich,1993,Head Coach
11,Rudy Tomjanovich,1994,Head Coach
11,Rudy Tomjanovich,1995,Head Coach
11,Rudy Tomjanovich,1996,Head Coach
11,Rudy Tomjanovich,1997,Head Coach
11,Rudy Tomjanovich,1998,Head Coach
11,Rudy Tomjanovich,1999,Head Coach
11,Rudy Tomjanovich,2000,Head Coach
11,Rudy Tomjanovich,2001,Head Coach
11,Rudy Tomjanovich,2002,Head Coach
11,Rudy Tomjanovich,2004,Head Coach
12,Larry Brown,1972,Head Coach
12,Larry Brown,1973,Head Coach
12,Larry Brown,1974,Head Coach
12,Larry Brown,1975,Head Coach
12,Larry Brown,1976,Head Coach
12,Larry Brown,1977,Head Coach
12,Larry Brown,1978,Head Coach
12,Larry Brown,1981,Head Coach
12,Larry Brown,1982,Head Coach
12,Larry Brown,1988,Head Coach
12,Larry Brown,1989,Head Coach
12,Larry Brown,1990,Head Coach
12,Larry Brown,1991,Head Coach
12,Larry Brown,1991,Head Coach
12,Larry Brown,1992,Head Coach
12,Larry Brown,1993,Head Coach
12,Larry Brown,1994,Head Coach
12,Larry Brown,1995,Head Coach
12,Larry Brown,1996,Head Coach
12,Larry Brown,1997,Head Coach
12,Larry Brown,1998,Head Coach
12,Larry Brown,1999,Head Coach
12,Larry Brown,2000,Head Coach
12,Larry Brown,2001,Head Coach
12,Larry Brown,2002,Head Coach
12,Larry Brown,2003,Head Coach
12,Larry Brown,2004,Head Coach
12,Larry Brown,2005,Head Coach
12,Larry Brown,2008,Head Coach
12,Larry Brown,2009,Head Coach
12,Larry Brown,2010,Head Coach
13,Bill Fitch,1970,Head Coach
13,Bill Fitch,1971,Head Coach
13,Bill Fitch,1972,Head Coach
13,Bill Fitch,1973,Head Coach
13,Bill Fitch,1974,Head Coach
13,Bill Fitch,1975,Head Coach
13,Bill Fitch,1976,Head Coach
13,Bill Fitch,1977,Head Coach
13,Bill Fitch,1978,Head Coach
13,Bill Fitch,1979,Head Coach
13,Bill Fitch,1980,Head Coach
13,Bill Fitch,1981,Head Coach
13,Bill Fitch,1982,Head Coach
13,Bill Fitch,1983,Head Coach
13,Bill Fitch,1984,Head Coach
13,Bill Fitch,1985,Head Coach
13,Bill Fitch,1986,Head Coach
13,Bill Fitch,1987,Head Coach
13,Bill Fitch,1989,Head Coach
13,Bill Fitch,1990,Head Coach
13,Bill Fitch,1991,Head Coach
13,Bill Fitch,1994,Head Coach
13,Bill Fitch,1995,Head Coach
13,Bill Fitch,1996,Head Coach
13,Bill Fitch,1997,Head Coach
14,Del Harris,1979,Head Coach
14,Del Harris,1980,Head Coach
14,Del Harris,1981,Head Coach
14,Del Harris,1982,Head Coach
14,Del Harris,1987,Head Coach
14,Del Harris,1988,Head Coach
14,Del Harris,1989,Head Coach
14,Del Harris,1990,Head Coach
14,Del Harris,1991,Head Coach
14,Del Harris,1994,Head Coach
14,Del Harris,1995,Head Coach
14,Del Harris,1996,Head Coach
14,Del Harris,1997,Head Coach
14,Del Harris,1998,Head Coach
15,Pat Riley,1981,Head Coach
15,Pat Riley,1982,Head Coach
15,Pat Riley,1983,Head Coach
15,Pat Riley,1984,Head Coach
15,Pat Riley,1985,Head Coach
15,Pat Riley,1986,Head Coach
15,Pat Riley,1987,Head Coach
15,Pat Riley,1988,Head Coach
15,Pat Riley,1989,Head Coach
15,Pat Riley,1991,Head Coach
15,Pat Riley,1992,Head Coach
15,Pat Riley,1993,Head Coach
15,Pat Riley,1994,Head Coach
15,Pat Riley,1995,Head Coach
15,Pat Riley,1996,Head Coach
15,Pat Riley,1997,Head Coach
15,Pat Riley,1998,Head Coach
15,Pat Riley,1999,Head Coach
15,Pat Riley,2000,Head Coach
15,Pat Riley,2001,Head Coach
15,Pat Riley,2002,Head Coach
15,Pat Riley,2005,Head Coach
15,Pat Riley,2006,Head Coach
15,Pat Riley,2007,Head Coach
16,Chris Ford,1990,Head Coach
16,Chris Ford,1991,Head Coach
16,Chris Ford,1992,Head Coach
16,Chris Ford,1993,Head Coach
16,Chris Ford,1994,Head Coach
16,Chris Ford,1996,Head Coach
16,Chris Ford,1997,Head Coach
16,Chris Ford,1998,Head Coach
16,Chris Ford,1999,Head Coach
16,Chris Ford,2003,Head Coach
17,Flip Saunders,1995,Head Coach
17,Flip Saunders,1996,Head Coach
17,Flip Saunders,1997,Head Coach
17,Flip Saunders,1998,Head Coach
17,Flip Saunders,1999,Head Coach
17,Flip Saunders,2000,Head Coach
17,Flip Saunders,2001,Head Coach
17,Flip Saunders,2002,Head Coach
17,Flip Saunders,2003,Head Coach
17,Flip Saunders,2004,Head Coach
17,Flip Saunders,2005,Head Coach
17,Flip Saunders,2006,Head Coach
17,Flip Saunders,2007,Head Coach
17,Flip Saunders,2009,Head Coach
17,Flip Saunders,2010,Head Coach
17,Flip Saunders,2011,Head Coach
17,Flip Saunders,2014,Head Coach
18,John Calipari,1996,Head Coach
18,John Calipari,1997,Head Coach
18,John Calipari,1998,Head Coach
19,Jeff Van Gundy,1995,Head Coach
