GameID,GameType,HomeTeam,AwayTeam,Date
1,Regular,Houston Rockets,Sacramento Kings,01-11-1996
2,Regular,Golden State Warriors,Los Angeles Clippers,01-11-1996
3,Regular,Vancouver Grizzlies,Portland Trail Blazers,01-11-1996
4,Regular,Utah Jazz,Seattle SuperSonics,01-11-1996
5,Regular,Toronto Raptors,New York Knicks,01-11-1996
6,Regular,Philadelphia 76ers,Milwaukee Bucks,01-11-1996
7,Regular,Orlando Magic,Washington Bullets,01-11-1996
8,Regular,Los Angeles Lakers,Phoenix Suns,01-11-1996
9,Regular,Minnesota Timberwolves,San Antonio Spurs,01-11-1996
10,Regular,Miami Heat,Atlanta Hawks,01-11-1996
11,Regular,Boston Celtics,Chicago Bulls,01-11-1996
12,Regular,New Jersey Nets,Cleveland Cavaliers,01-11-1996
13,Regular,Detroit Pistons,Indiana Pacers,01-11-1996
14,Regular,Denver Nuggets,Dallas Mavericks,01-11-1996
15,Regular,Atlanta Hawks,Detroit Pistons,02-11-1996
16,Regular,Charlotte Hornets,Toronto Raptors,02-11-1996
17,Regular,Chicago Bulls,Philadelphia 76ers,02-11-1996
18,Regular,Dallas Mavericks,Sacramento Kings,02-11-1996
19,Regular,Los Angeles Clippers,Utah Jazz,02-11-1996
20,Regular,Milwaukee Bucks,Boston Celtics,02-11-1996
21,Regular,Phoenix Suns,Houston Rockets,02-11-1996
22,Regular,Seattle SuperSonics,Portland Trail Blazers,02-11-1996
23,Regular,Washington Bullets,Cleveland Cavaliers,02-11-1996
24,Regular,Indiana Pacers,Miami Heat,02-11-1996
25,Regular,Vancouver Grizzlies,Golden State Warriors,03-11-1996
26,Regular,San Antonio Spurs,Denver Nuggets,03-11-1996
27,Regular,Los Angeles Lakers,Minnesota Timberwolves,03-11-1996
28,Regular,New York Knicks,Charlotte Hornets,03-11-1996
29,Regular,Portland Trail Blazers,Atlanta Hawks,04-11-1996
30,Regular,Utah Jazz,Houston Rockets,04-11-1996
31,Regular,Chicago Bulls,Vancouver Grizzlies,05-11-1996
32,Regular,Cleveland Cavaliers,San Antonio Spurs,05-11-1996
33,Regular,Denver Nuggets,Los Angeles Clippers,05-11-1996
34,Regular,Golden State Warriors,Portland Trail Blazers,05-11-1996
35,Regular,New York Knicks,Los Angeles Lakers,05-11-1996
36,Regular,Philadelphia 76ers,Detroit Pistons,05-11-1996
37,Regular,Phoenix Suns,Minnesota Timberwolves,05-11-1996
38,Regular,Sacramento Kings,Houston Rockets,05-11-1996
39,Regular,Seattle SuperSonics,Atlanta Hawks,05-11-1996
40,Regular,Toronto Raptors,Dallas Mavericks,05-11-1996
41,Regular,Washington Bullets,San Antonio Spurs,06-11-1996
42,Regular,Milwaukee Bucks,Vancouver Grizzlies,06-11-1996
43,Regular,Miami Heat,Chicago Bulls,06-11-1996
44,Regular,Detroit Pistons,Dallas Mavericks,06-11-1996
45,Regular,Boston Celtics,Indiana Pacers,06-11-1996
46,Regular,Charlotte Hornets,Los Angeles Lakers,06-11-1996
47,Regular,Sacramento Kings,Atlanta Hawks,07-11-1996
48,Regular,Portland Trail Blazers,Minnesota Timberwolves,07-11-1996
49,Regular,New Jersey Nets,Orlando Magic,07-11-1996
50,Regular,Golden State Warriors,New York Knicks,07-11-1996
51,Regular,Denver Nuggets,Houston Rockets,07-11-1996
52,Regular,Phoenix Suns,Seattle SuperSonics,07-11-1996
53,Regular,Boston Celtics,Philadelphia 76ers,08-11-1996
54,Regular,Cleveland Cavaliers,Vancouver Grizzlies,08-11-1996
55,Regular,Detroit Pistons,Chicago Bulls,08-11-1996
56,Regular,Los Angeles Clippers,New York Knicks,08-11-1996
57,Regular,Miami Heat,Milwaukee Bucks,08-11-1996
58,Regular,Orlando Magic,New Jersey Nets,08-11-1996
59,Regular,San Antonio Spurs,Seattle SuperSonics,08-11-1996
60,Regular,Toronto Raptors,Los Angeles Lakers,08-11-1996
61,Regular,Washington Bullets,Charlotte Hornets,08-11-1996
62,Regular,Denver Nuggets,Golden State Warriors,08-11-1996
63,Regular,Philadelphia 76ers,Phoenix Suns,09-11-1996
64,Regular,Sacramento Kings,Portland Trail Blazers,09-11-1996
65,Regular,Houston Rockets,Utah Jazz,09-11-1996
66,Regular,Dallas Mavericks,Miami Heat,09-11-1996
67,Regular,Chicago Bulls,Boston Celtics,09-11-1996
68,Regular,Indiana Pacers,Washington Bullets,09-11-1996
69,Regular,Charlotte Hornets,Milwaukee Bucks,09-11-1996
