SalaryID,PlayerName,SeasonStartYear,Salary,InflationAdjSalary
1,Michael Jordan,1996,"$30,140,000","$52,258,566"
2,Horace Grant,1996,"$14,857,000","$25,759,971"
3,Reggie Miller,1996,"$11,250,000","$19,505,934"
4,Shaquille O'Neal,1996,"$10,714,000","$18,576,585"
5,Gary Payton,1996,"$10,212,000","$17,706,187"
6,David Robinson,1996,"$9,952,000","$17,255,383"
7,Juwan Howard,1996,"$9,750,000","$16,905,143"
8,Hakeem Olajuwon,1996,"$9,655,000","$16,740,426"
9,Alonzo Mourning,1996,"$9,380,000","$16,263,615"
10,Dennis Rodman,1996,"$9,000,000","$15,604,747"
11,Dikembe Mutombo,1996,"$8,013,000","$13,893,427"
12,Chris Webber,1996,"$8,000,000","$13,870,887"
13,Otis Thorpe,1996,"$7,000,000","$12,137,026"
14,Latrell Sprewell,1996,"$7,000,000","$12,137,026"
15,Elden Campbell,1996,"$7,000,000","$12,137,026"
16,Kevin Johnson,1996,"$7,000,000","$12,137,026"
17,Danny Manning,1996,"$6,833,000","$11,847,471"
18,Derrick Coleman,1996,"$6,739,000","$11,684,488"
19,Anfernee Hardaway,1996,"$6,655,000","$11,538,844"
20,Dale Davis,1996,"$6,508,000","$11,283,966"
21,John Stockton,1996,"$6,000,000","$10,403,165"
22,Clyde Drexler,1996,"$5,500,000","$9,536,234"
23,Sean Elliott,1996,"$5,333,000","$9,246,680"
24,Dino Radja,1996,"$5,313,000","$9,212,002"
25,Antonio Davis,1996,"$5,200,000","$9,016,076"
26,Shawn Bradley,1996,"$5,130,000","$8,894,706"
27,Grant Hill,1996,"$5,025,000","$8,712,650"
28,Larry Johnson,1996,"$5,004,000","$8,676,239"
29,Tom Gugliotta,1996,"$5,000,000","$8,669,304"
30,Allan Houston,1996,"$5,000,000","$8,669,304"
31,A.C. Green,1996,"$4,851,000","$8,410,959"
32,Vlade Divac,1996,"$4,718,000","$8,180,355"
33,Charles Barkley,1996,"$4,695,000","$8,140,476"
34,Karl Malone,1996,"$4,657,000","$8,074,590"
35,Danny Ferry,1996,"$4,643,000","$8,050,316"
36,Glenn Robinson,1996,"$4,640,000","$8,045,114"
37,Christian Laettner,1996,"$4,500,000","$7,802,373"
38,Steve Smith,1996,"$4,500,000","$7,802,373"
39,Jason Kidd,1996,"$4,408,000","$7,642,858"
40,Kenny Anderson,1996,"$4,175,000","$7,238,869"
41,John Williams,1996,"$4,151,000","$7,197,256"
42,Harvey Grant,1996,"$4,111,000","$7,127,902"
43,Chris Dudley,1996,"$4,100,000","$7,108,829"
44,Glen Rice,1996,"$4,002,000","$6,938,911"
45,Rik Smits,1996,"$4,000,000","$6,935,443"
46,Brian Shaw,1996,"$4,000,000","$6,935,443"
47,Toni Kukoc,1996,"$3,960,000","$6,866,089"
48,Jim Jackson,1996,"$3,900,000","$6,762,057"
49,Ron Harper,1996,"$3,840,000","$6,658,025"
50,Jamal Mashburn,1996,"$3,833,000","$6,645,888"
51,Kendall Gill,1996,"$3,800,000","$6,588,671"
52,Nick Anderson,1996,"$3,790,000","$6,571,332"
53,Billy Owens,1996,"$3,773,000","$6,541,857"
54,Vin Baker,1996,"$3,765,000","$6,527,986"
55,Rony Seikaly,1996,"$3,752,000","$6,505,446"
56,Isaiah Rider,1996,"$3,610,000","$6,259,237"
57,Sherman Douglas,1996,"$3,594,000","$6,231,496"
58,Mitch Richmond,1996,"$3,575,000","$6,198,552"
59,Charles Smith,1996,"$3,557,000","$6,167,343"
60,Tyrone Hill,1996,"$3,480,000","$6,033,835"
61,Wayman Tisdale,1996,"$3,475,000","$6,025,166"
